optional	34	107	Whirl Islands · Lugia
optional	35	111	Nanjo Forest return · rival · Tri-Wing
optional	36	112	Joule Cave · Zapdos
optional	37	112	Charred Summit · Moltres
optional	38	112	Iced Cavern · Articuno
optional	39	117	Tropical Island · Mew
optional	40	127	Gym rematches
optional	41	127	Clair rematch
optional	42	127	League rematch
optional	43	127	Blue rematch
optional	44	127	Battle Club · Trainer House
optional	45	127	Battle Tower challenge
optional	46	127	Pokédex cleanup
